kalimat;tag_bipolar;tag_depresi;tag_insomnia;tag_kecemasan;tag_skizofrenia
saya mau bertnya saudara saya mnderita skizo sudah sekarang masih mnum obat dari dokter kjiwaan tapi anehnya srtiap seminggu sekali tepatnya setiap hari jum at pasti saudara saya pikiranya kaya kosong plengang plengong bengong sendiri terus pasti bolak balik ke kamar mndi hampir 10 klli itupun mungkin lebih dalam beberapa menit kok bisa begitu ya obat yang diminum nmanya clorpromazn haloperidol trihexiperi itu obat generasi lamq kan kalo dignti yang gnerasi baru seperti clozapin resperidone apakah lebih bagus;0;0;0;0;1
umur saya 20th saya sudah periksa ke dokter umum saya hanya di kasih paracetamol b12 dan antasida tapi saya kadang bingung dengan penyakit saya batin dan pikiran saya suka bicara bicara sendiri kadang muncul pikiran buruk kadang pusing setres sering merasa takut ini lah takut itu lah kalau gejala fisik leher saya sering kaku kadang kalau menengok kiri suka bunyi saya berobat ke mana ya soal nya sangat mengganggu hidup saya;0;0;0;1;0
umur saya 21 gejala yang saya alami kalau saya sedang beraktivitas jam 12 3 sore kadang tubuh saya suka langsung lemas dan bingung gejala fisik nya saya sakit di bagian bawah perut sebelah kiri dan dada kiri aga bengkak kalau di sentuh tulang rusuk atas terasa ngilu tenggorokan sakit mulut mudah pahit gejala psikologi nya kalau hari ini saya mudah gembira besoknya saya selalu kepikiran penyakit jam tidur kalau sayakalau saya tidur jam 8 jam 2 malam sudah bangun kalau tidur saya jam 11 jam 4 malam sudah bangun sudah 3bulan 3x periksa cuma dikasih obat lambung;0;0;0;1;0
ibu saya didiagnosa mengidap schizophrenia tak terinci sudah rawat inap salam 3 minggu dan ini sudah boleh dijinkan pulang ibu saya diberi obat risperidone 2mg dengan dosis 2 kali per hari dan ikalep 250 moga dosisnya 1kali perhari obat yang diberikan dokter pas pulang dari rawat inap cuma sampai 2 minggu dan dianjurkan setelah 2 minggu untuk kontrol kmbli dan mmbli obat lagi msalahnya ibu saya tidak mau kontrol ke rumah sakit lagi karena kejauhan pertanyaannya apakah kalo hanya mmbli obat nya saja tanpa ibu saya kontrol ke dokter tidak apa-apa kalo saya beli di apotek obat tersebut apakah dosis minumnya masih sama seperti yang dianjurkan dokter saat ibu saya pulang dari rawat inap terima kasih;0;0;0;0;1
kenapa saya kalau merasa tidak nyaman dengan suatu kondisi kaki dan tangan saya suka gemeteran bisa bisa sampai reflek loncat ataupun lari terus saya langsung keringet dingin itu kenapa ya;0;0;0;1;0
kok dada saya setiap saat sering ingin di tekan terus ya terus kalau enggak di tekan kayak jadi gelisah terus apa lagi pas upacara gelisah banget kalau enggak di tekan dada saya di kiri dan kanan penyakit apa ya;0;0;0;1;0
saya anak satusatunya dan ibu saya jalan bolak balik bisa sejam bahkan dua jam dia juga suka ketawa sendiri ibu saya bisa bekerja dengan baik dalam hal rumahtangga tapi kalo kambuh ya kambuh harus obat apakah itu menular ke saya;0;0;0;0;1
saya andi umur 22 tahun beberapa minggu ini setiap malam saya sering merasakan jantung berdetak kencang nafas agak terhambat dan gelisah luar biasa tapi tidak ada rasa nyeri sedikitpun kira kira apa penyebabnya ya dan apa yang harus dilakukan saat saat diatas terjadi di malam hari terimakasih;0;0;0;1;0
saya enggak berani beraktivitas diluar rumah jika tidak ada yang menemani seperti orang tua kawan pacar untuk keluar rumah untuk rawat bunga pun kadang saya risih jika tidak ada yang temani saya dan saya pun memang lebih nyaman dirumah menonton game makin kalo sendiri drumah kalo keluar pasti berdua pcr atau teman apa saya sakit gejala sesuatu saya juga ingin bebas seperti yang lain keluar ke pasar beli kosmetik bisa sendiri tanpa bergantungan orang lain tapi gakbisa belum juga keluar baru siap2 untuk panasin motor saya sudah keringat dingin jantung berdebar dibilang trauma saya juga alhamdulillah belum pernah kecelakaan atau bagaimana inti kmn2 sendiri saya enggak pernah bisa duluan takut kenapa saya sangat ingin berubah;0;0;0;1;0
saya mau bertanya apakah kotak tertawa itu benaran ada kalo misal memang ada apa iya kotak tertawa itu akan habis jika terlalu banyak tertawa karena di salah satu eps spongebob squarepants squidward dilarikan ke rumah sakit karena terlalu banyak tertawa dan kehabisan kotak tertawa saya sedikit takut akhir akhir ini adek saya terlalu banyak tertawa padahal tidak ada hal yang lucu bagaimana kalo kotak tertawa adek saya habis apa saya bisa mendonorkan kotak tertawa saya jika hal tersebut terjadi pada adek saya terimakasih;0;0;0;0;1
saya mau tanya akhir2 ini saya merasa diotak saya sangat ribut seperti banyak suara2 yang memenuhi otak saya dan juga terus pikiran saya jadi tidak tenang dibilang tegang enggak padahal saya lagi enggak mikirkan sesuatu yang saya ini sakit atau hanya kecemasan semata;0;0;0;0;1
sudah beberapa tahun ini saya merasa tidur saya kurang nyenyak sangat sering sekali saya terbangun saat tidur bisa sampai 3 4kali saya terbangun dari tidur terkadang saat bangun tidur saya merasa baru tidur sebentar masih sangat merasa lelah dan ngantuk kira-kira kenapa ya;0;0;1;0;0
saya sering bangun malam kisaran jam 3 2 yerbangun terpaksa perasaan saya tidk enak dan serasa kepala saya penuh pikiran gelisa susah tidur pikiran saya penuh tapi end memikirkan apa saya bingun;0;0;1;0;0
saya mau tanya dari kecil saya punya kebiasaan menghayal terus bicara sendiri seolah olah saya ada dalam hayalan saya dan orang yang ada dalam hayalan saya itu benar benar ada dan saya sadar kalau kebiasaan saya itu aneh tapi kebiasaan itu tetap belum bisa hilang bagaimana ya apa ada masalah sama psikologis saya;0;0;0;0;1
saya mau tanya di keluarga ayah saya ada riwayat skizo yang sekarang turun ke kakak saya laki-laki bahkan setelah koma karena percobaan bunuh diri skizonya tambah ingat umur 4 tahun pertama kalinya saya meyakini melihat sosok di depan jendela kamar saya tengah malam dan itu terus terbayang setiap saya mulai melamun mau saya mulai sering mendengar suara2 yang ternyata enggak didengar orang rumah seperti tangisan ibu dan kuliah saya mulai sering paranoid seperti perasaan2 ada yang memperhatikan saya dengan sekarang saya semakin sering dengar bisikan2 itu suara2 dari dalam pikiran yang akhirnya saya merasa selalu kalah dalam perdebatan dan spontan menangis saya jadi sulit tidur dan harus minum antim kalau mau ini sudah sangat menganggu dan membuat saya jadi sulit mengenali emosi dan ada kemungkinan yang saya alami itu gejala skizofrenia;0;0;0;0;1
saya mau tanya saya sering merasa seperi ada hewan menggeliat di tubuh saya tetapi saat di lihat tidak ada apakah saya memiliki penyakit halusinasi;0;0;0;0;1
kenapa saya tak mau menstruasi dan hamil setelah minum obat jiwa skizofrenia;0;0;0;0;1
dokter apa yang menyebabkan penderita skizof saat kambuh sering terlihat berbicara dan senyum apa saja yang membantu penyembuhan selama masa pengobatan apakah ada makanan dan minuman yang dianjurkan;0;0;0;0;1
dokter berapa lama kamu kira kira penyakit skizofrenia jika di bawa ke rs jiwa;0;0;0;0;1
dokter saya mau tanya apakah saya ini paranoid atau enggak saya kalau ada sedikit banyak masalah terus saya bawa perasaan nah sudah enggak enak makan terus tidur susah jadi insomnia terus parahnya saya cemas atau takut berlebihan yang namanya mati tiba tiba saya takut dan bilang ke siapa saja mama besok kayak saya mau mati deh itu bagaimana ya dokter;0;0;0;1;0
dokter yang baik semalam saya tidur tapi enggak tau kenapa di tengah2x tidur saya terbangun terus setiap kali sudah bermimpi tb2 tubuh saya bangun sendiri seperti ada sesuatu di bagian dada yang membuat saya terbangun kadang saya terbangun sambil terbatuk2x tapi bukan berarti setelah itu saya tidak bisa tidur atau tidak merasa ngantuk saya sudah sangat ingin tidur tapi tubuh saya selalu saja tiap 5 menit sekali menyuruh saya bangun lalu saya duduk sebentar sambil main smartphone setengah jam baru lah saya bisa tidur dengan nyenyak kenapa bisa begitu ya saya takut tidak dapat tidur nyenyak di malam hari oh ya sebelumnya saya ingin beritahu kalau saya sedang radang tenggorokan apa ada hubungannya ya terima kasih;0;0;1;0;0
dokter prihatin banget setelah hampir 20 tahun menikah ternyata suami mengindap skizofrenia saat ini sedang dalam pengobatan saya juga harus membawanya ke phisikolog tidak terjadi pada pasangan lain karena sangat mempengaruhi kehidupan saya dan anak-anak;0;0;0;0;1
dulu waktu bulan 11 2016 saya terkena skizofrenia paranoid sudah kelang beberapa minggu perasaan saya sudah agak mendingan tapi obat tidak di minum itu saya pada bulan 2 2017 saya terkena lagi skizofrenia keluhan saat saya merasa tidak nyaman di kehidupan sekarang suka menyendiri mengurung diri pendiam mental saya down rendah sekali dan tidak tau tujuan mau kemana motivasi tidak ada dan tidak ingin bersosialisai kira-kira bagaimana ya mengatasinya trm kasih;0;0;0;0;1
hai saya mahasiswi umur 21 tahun saya ingin tanya tentang kegelisahan saya sudah sekitar 5 bulan saya sering merasa gelisah disertai insomnia kadang kepala bagaian atas juga terasa sangat sakit dan dada sesak awalnya berasal ada dari masalah pribadi sejak saat itu saya merasa orang lain tak ada satupun yang saya percaya saya juga sering merasa teman teman saya tidak lagi mau dekat dengan saya dan akhir akhir ini saya juga sering menarik diri dari lingkungan entah kenapa waktu yang paling saya suka itu adalah saat saya sendirian saya tidak terlalu tertarik untuk berkomunikasi dengan orang lain sekalipun keluarga saya tapi dengan kesendirian itu tidak membuat saya lebih tenang saya sadar betul hal ini bukan hal baik untuk selalu menghindar untuk berkomunikasi dengan orang lain tapi saya tidak bisa menhindari itu bagaimana untuk mengatasinya saya sudah mencoba melawan rasa gelisah ini tapi belum berhasil apakah saya memerlukan psikiater mohon bantuannya terimakasih;0;0;0;1;0
 saya berumur 45 tahun dan saya ingin bertanya selama 4 bulan ini saya tidak bisa bisa tidur juga karena minum obat obat tidur itu pun hanya sebentar saja itu saya tidak bisa tidur sampai pagi cara nya agar saya bisa sembuh dari penyakit susah tidur;0;0;1;0;0
 saya punya kakak usia 30 tahun sudah lebih dari dua tahun kakak saya sering berkhalusinasi dan kadang trsenyum bahkan berbicara seperti ada yang mengajak mengobrol sdngkan kami tidak ada mengomong apa-apa kalau berbicara kadang tidak menyambung dan bahkan amrah nya meledak ledak apa lagi ktka kami mengajaknya membawa kedokter makin ngamuk susah sekali kami membawa nya untuk berobat kami jadi terkendala mengobati kakak kami pernah sekali kami berhasil membawa paksa sampai tangan pun diikat apa tuh sakit skizofernia bagaimana cara nya supaya kakak kami mau dibawa berobat karena dia merasa tidak sakit apa pun dan sangat sulit diketahui sikap emosi nya saat ini;0;0;0;0;1
 saya novita umur saya 19 mau tanya semenjak saya lulus smk saya susah tidur bahkan sampai sekarang juga saya susah tidur bisa tidur itu menjelang pagi lama sekali itu sampai sekarang hampir setahun nah sudah saya rasa untuk satu minggu ini saya bisa tidur siang bahkan dari siang jam 11 sampai 17 30 apakah saya terserang penyakit atau memang hanya susah tidur biasa dan satu minggu ini badan saya terasa sangat capek padahal saya tidak pernah kerja berat sama sekali hanya duduk main hp begitu saja satu lagi kalo bangun tidur itu saya merasa mual terus dulu saya jerawatan sembuh karena saya obati alami dan tidur teratur semenjak saya susah tidur saya mulai jerawatan lagi dan apalagi haid pasti jerawatan jadi ini masalahnya apa;0;0;1;0;0
 saya dyah usia 19 tahun saya ingin bertanya tentang anxiety saya sering merasa gelisah sebuah kesalahan dan permasalahan selalu menjadi pikiran sampai terkadang tidak bisa tidur ingin marah sendiri jika mengingat kesalahan atau masalah itu sedih sampai menangis teman teman saya sering menganggap saya terlau berlebihan dan kesannya seperti membesar besarkan tapi memang begitulah saya rasanya tidak enak penuh dengan pikiran walaupun sebenarnya saya sendiri tahu itu hanya lah sebuah masalah sebelumnya;0;0;0;1;0
 saya landi 23 tahun saya mengkonsumsi tramadol dari kelas 2 sampai umur 13 tahun dan sampai sekarang tidak bisa berhenti mengkonsumsi terus sehari saya memakan 10butir bila saya tidak memakan obat tersebut tubuh saya letih lesuh lelah pusing suhu tubuh tidak benar kadang panas atau dingin intinya sakit nah saya ingin menanyakan cara berhenti mengkonsumsi obat tramadol dengan tidak merasakan sakit bagaimana ya lalu apakah penyakit skizofrenia itu bisa muncul dari mengkonsumsi obat obatan lalu bila saya memakan atau tidak memakan tramadol sering berhalusinasi apakah saya termasuk mempunyai penyakit skizofrenia;0;0;0;0;1
 saya punya adik penderita skizoprenia sudah hampir 20 tahun sekarang umur 30 tahun belakangan ini dia suka ngamuk ngamuk segala dibantingkan bagaimana cara menenangkan nya terus apakah bisa sembuhkan dengan cara apa terima kasih;0;0;0;0;1
 saya siswa sama kelas 1 umur saya 15 kenapa setiap saya sedang menyendiri dan terdiam tanpa di sadari saya memulai percakapan dengan seseorang seolah olah itu nyata dan masuk akal dan tiba tiba sayapun juga membayangkan suatu adegan dengan jelas di pikiran saya tetapi saya hanya melakukan hal itu di tempat yang tertutup yang tidak bisa orang melihatnya jadi ketika saya sedang berbicara sendiri lalu tiba tiba ada orang yang mendekat saya langsung terdiam seperti sedang tidak melakukan apa apa terkadang saya langsung sembunyi dan disitulah saya sadar bahwa saya sedang berbicara sendiri dan ketika orang itu sudah menjauh entah kenapa diriku ini seperti ada yang mengajak untuk berbicara dan tanpa di sadar pula hal itu terjadi lagi saya memang kesepian di rumah saya anak tunggal tapi ketika saya di pondok kan di pondok banyak anak anak dan saya juga tidak merasa kesepian saya tidak pernah membayangkan adegan adegan atau samacam seperti berbicara dengan seseorang tapi karena saya sudah tidak di pondok saya merasa kesepian lagi karena tidak ada teman dan sayapun juga mulai kambuh dengan hal seperti sudah dari kecil kira kira umur 4 sampai 5 tahunlah dan juga bukan hanya itu saya juga sering ketakutan ketika saya sendirian di rumah saya selalu melihat yang saya juga tidak tau entah itu halusinasi atau apa tetapi saya sering mngalaminya padahal saya tidak memiliki indera ke6 dan juga rasa takut itu timbul dari perasaanku sendiri yang selalu was was dan saya selalu merasa seperti ada yang melihatku dan mengawasiku semua yang saya alami ini sangat mengganggu aktivitasku semua pekerjaan yang saya ingin melakukannya pasti selalu tertunda dengan ada hal itu orang tua saya belum mengetahuinya saya tidak pernah brcerita hal ini kepada orang tua saya dan pastinya orang tua saya akan menanggapi dengan biasa biasa saja;0;0;0;0;1
 dokter saya mau bertanya bagaimana cara mendiagnosa atau mengetahui ciri seseorg mengalami skizofrenia pada usia remaja dan bagaimana supaya tidak perlu ke;0;0;0;0;1
 saya berumur 18 tahun akhir2 ini selama 5 hari saya sering sekali bermimpi buruk hingga saya takut untuk tidur kembali jantung saya berdebar kaki dan tangan dingin saya memiliki rasa takut yang luar biasa hingga berjamjam namun saya normal kembali apa yang harus saya lakukan apa ada penyebab yang membuat saya bermimpi buruk terus menerus mohon dijawab terimakasih;0;0;0;1;0
 saya seorang wanita berumur 23 tahun karena sejak kecil hidup dalam kondisi broken home dipaksa menjadi dewasa sejak kecil jauh dari orangtua hidup bersama keluarga yang memang susah menjaga omongan juga dituntut menjadi sesuai ekspektasi mereka saya jadi stres sejak kecil bahkan menjadi depresi ketika saya mulai masuk kuliah saya memiliki gejala major depressive disorder seperti stres lebih dari 2 tahun dimana saya sudah stres selama lebih dari 15 tahun dan berpikiran untuk bunuh diri tapi disaat yang bersamaan saya juga memiliki gejala skizofrenia seperti delusi dan halusinasi lantas bagaimana cara membedakan antara keduanya apakah mungkin seseorang bisa mengalami skizofrenia dan major depressive disorder di saat yang bersamaan terima kasih;0;0;0;0;1
 saya sudah 6 bulan lebih memiliki perasaan seperti dunia ini tidak nyata pikiran kacau kepala sakit timbul rasa mual menurut dokter penyakit yang saya alami ini gangguan kejiwaan atau ada masalah dengan otak saya tidak pernah halusinasi seperti ada yang mengikuti dengar suara aneh apa saya bisa mengajukan surat rujukan ke bpjs tolong di jawab membuat hidup tidak umur 22th;0;0;0;0;1
 saya adalah pasien dari poli jiwa dan terungkap bahwa saya mengalami depresive episode yang kemudian terakhir kali saya lihat diagnosa di rumah sakit saya mengalami schizoafektif sebenarnya apa itu schizoafektif dan depresive episode;0;0;0;0;1
 dokter yang baik punya teman ber iq sangat tinggi dia pernah depresi karena kecerdasannya hingga masuk rsj dan dipanggilkan seorang psikiater dia sudah beberapa kali menyinggung topik skizofrenia dengan saya secara tersirat prestasinya sangat unggul dari jenjang sd sampai dan sama saya rasa dia memiliki beberapa kepribadian dia menunjukkan banyak sisi dari dirinya tapi saya tidak benar-benar mengenalinya satu pun saya sudah baca-baca dari beberapa sumber mengenai penyakit skzofrenia dan ada ciri2 yang saya tidak temukan pada teman saya tapi ada juga yang saya curigai karena ia kadang berbicara sendiri merasa tersiksa di keramaian namun ia pandai beradaptasi dan hanya tidur 4 jam dalam sehari sedangkan ciri2 seperti prestasi dan rutinitas kesehariannya turun tidak peduli pada penampilan itu tidak ada ia masih unggul berprestasi berpenampilan rapi dan bersih dan berbicara sopan dengan intonasi yang apakah teman saya itu dapat dikatakan sebagai penderita skiofrenia atau hanya mengalami gejala kedua saya pernah menonton film berjudul beautiful setelah itu saya jadi punya pertanyaan apakah penyakit skizofrenia lebih banyak menimpa orang-orang yang memiliki tingkat iq sangat banyak untuk dokter yang dapat membantu saya dalam ketidaktahuan dan kebingungan terhadap kasus ini;0;0;0;0;1
 dokter saya cukup sering mengalami kecemasan yang berlebihan 4 bulan terakhir ini seperti pikiran yang negatif dan cukup mengganggu konsentrasi saya hal yang pulang sering saya pikirkan adalah seperti atau yang menyebabkan terdekat saya meninggal bahkan saya sering membayangkan orang terdekat saya bagaimana ia meninggal hingga saat prosesi pemakaman dsb hal itu sangat mengganggu saya dan menimbulkan kecemasan pada saya sehingga jadi lebih protektif merasa parno dan lebih intens memperhatikan terdekat saya apakah karena pemikiran dan kecemasan negatif yang saya alami beberapa bulan terakhir ini menyatakan bahwa saya terkena dokter;0;0;0;1;0
 fadhly 21 tahun ingin setahun ini saya merasa aneh dengan pikiran saya saya mengalami halusinasi delusi pikiran kacau tulang punggung nyeri serta malas makan saya juga merasa ada pikiran ingin bunuh diri saya ingin mengakhiri hidup saya seakan saya sudah tidak sanggup lagi hidup semangat hidup yang hilang membuat saya tidak berdaya apakah ada pengaruh antata pengidap penyakit skizofrenia dengan punggung yang nyeri saya sudah mengalami ini setahun kebelakang ini mohon klarifisikasinya;0;0;0;0;1
 mau bertanya mengenai langkah yang harus saya ambil tehadap penyakit ayah saya yang di lihat berdasarkan obat dari dokter spesialis saraf yaitu sakit skizofrenia ini sudah ketiga kalinya penyakit ayah saya kambuh yang awalnya sempat sekitar tahun 2007 terjadi pemukulan benda tumpul di bagian leher belakang ayah saya sehingga terjadi sakit skizofrenia kambuh kembali di tahun 2012 dan sampai sekarang 2017 setiap kambuh pasti leher belakang sebelah kanannya lebih tinggi dari sebelah kiri yang saya perkirakan akibat pemukulan di tahun saya mau tanya kepada dokter langkah baik untuk keluarga saya ambil itu seperti apa ya agar penyakit ayah saya dapat di tanggulangi dan tidak kumat kembali kasih;0;0;0;0;1
